,Company,Sector,Query,Method,Answer Passage Index,Answer Passage,Answer,Answer Edit
11,V%C3%ADa%20C%C3%A9lere_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1," 
Conclusion   
Vía Célere  has developed the Vía Célere Green Bo nd Framework  under which it will issue green bonds and the 
use of proceeds to finance energy -efficient residential assets.  Sustainalytics considers that the assets  funded 
by the green bond proceed s are expected to have  provide positive environmental impact .  
The Vía Célere Green Bond Framework  outlines a process by which proceeds will be tracked, allocated, and 
managed, and commitments have been made for reporting on the allocation and impact of th e use of 
proceeds. Furthermore, Sustainalytics believes that  the  Vía Célere Green Bond Framework  is aligned with the 
overall sustainability strategy of the Company and that the green use of proceed s category will contribute to 
the advancement of  the  UN Sus tainable Development Goa l 11. Additionally, Sustainalytics i s of the opinion 
that Vía Célere  has adequate  measures to identify, manage and mitigate environmental and social risks 
commonly associated with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that  Vía Cé lere  is well -positioned to issue green bonds and 
that  the Vía Célere Green Bond Framework  is robust, transparent, and in alignment with the four core 
components of the Green Bond Principles 2018.  
  ",energy -efficient residential assets,energy -efficient residential assets
12,Vonovia_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Conclusion   
Vonovia  has developed the Vonovia Green Bond Framework  under which it will issue green bonds and use the 
proceeds to finance  and/or refinance  Green Buildings  and Energy Efficiency , Renewable Energy, and Clean 
Transportation projects. Sustainalytics considers that the projec ts funded by the green bond proceeds are 
expected to have  provide positive environmental impact .  
The Framework  outlines a process by which proceeds will be tracked, allocated, and managed, and 
commitments have been made for reporting on the allocation and im pact of the use of proceeds. Furthermore, 
Sustainalytics believes that  the  Framework  is aligned with the overall sustainability strategy of the company 
and that the green use of procee ds categor ies  will contribute to the advancement of  the  UN Sustainable 
Development Goa ls 7. 9,  and 11.  Additionally, Sustainalytics is of the opinion that Vonovia  has adequate  
measures to identify, manage and mitigate environmental and social risks commonly associated with the 
eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that  Vonovia  is well -positioned to issue green bonds and  that  
the Vonovia Green Bond Framework  is robust, transparent, and in alignment with the four core components 
of the Green Bond Principles 2018.  
  ","Green Buildings  and Energy Efficiency , Renewable Energy, and Clean  Transportation projects","Green Buildings  and Energy Efficiency , Renewable Energy, and Clean  Transportation projects"
13,Xior_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Conclusion  
Xior  has developed the Xior Student Housing N.V. Green Finance Framework  under which it can  issue green 
bonds , loans and other financing instruments  and the use of proceeds to finance energy efficient student 
residences, on -site renewable energy generation,  energy efficient technologies and appliances , clean 
transportation infrastructures and  wastewater and waste  reduction projects . Sustainalytics considers that the 
project s funded by the green finance  proceeds will provide positive environmental impact .  "," energy efficient student  residences, on -site renewable energy generation,  energy efficient technologies and appliances , clean  transportation infrastructures and  wastewater and waste  reduction projects"," energy efficient student  residences, on -site renewable energy generation,  energy efficient technologies and appliances , clean  transportation infrastructures and  wastewater and waste  reduction projects"
14,Baseload%20Capital_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,1,"Section 3. Detailed review  
Reviewers are encouraged to provide the information below to the extent possible and use the comment 
section to explain the scope of their review.  
1. USE OF PROCEEDS  
Overall comment on section (if applicable) :  
The proceeds are exclusively used to finance projects that generate energy from heat, including geothermal 
and residual heat from industrial processes. Baseload Capital has set exclusions for using bond proceeds 
for financing heat -to-energy projects involving fossil fuel energy generation, nuclear energy generation, R&D 
related to weapons and defense, mining, gambling and tobacco. Industrial processes powered by fossil 
fuels and biomass power generation relying on  feedstocks that contribute to deforestation or compete with 
food production are also excluded. The Use of Proceeds are recognized as impactful by the Green Bond 
Principles 2018.  ","projects that generate energy from heat, including geothermal  and residual heat from industrial processes",projects that generate energy from heat
15,E.ON_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,1," 
Conclusion  
E.ON  SE has developed the E.ON Green Bond Framework, under which it intends to issue Green Bonds, and 
use the proceeds to fund investments in renewable energy, energy efficiency, and clean transportation . 
Specifically, E.ON may finance expenditures related to acquisition or development of renewable energy 
technologies, the connection of these technologies to the grid, replacement and upgrade of the electrical grid, 
smart meters, integrated on -site business and city energy solutions, and electric vehicle chargin g 
infrastructure .  ","investments in renewable energy, energy efficiency, and clean transportation ","investments in renewable energy, energy efficiency, and clean transportation "
16,E.ON_External%20Review%20Report%202021.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,2,"Conclusion  
E.ON has developed a  Green Bond Framework under which it will issue green bonds and the use of proceeds 
to (re) finance assets and capital expenditures that support the energy transition and climate change 
mitigation . Sustainalytics considers that the projects funded by the green bond proceeds will provide positive 
environmental impact s.  
The Green Bond Framework outlines a process by which proceeds will be tracked, allocated, and managed, 
and  includes commitments for reporting on the allocation and impact of the use of proceeds. Furthermore, 
Sustainalytics believes that E.ON ’s Green Bond Framework is aligned with the overall sustainability strategy 
of the company and that the green use of proc eeds categories will contribute to the advancement of the UN 
Sustainable Development Goals 7, 9 and 11. Additionally, Sustainalytics is of the opinion that E.ON has 
adequate measures to identify, manage and mitigate environmental and social risks commonly associated 
with the eligible projects funded by the use of proceeds.  
Sustainalytics has assessed E.ON ’s Green Bond Framework for alignment with the EU Taxonomy, and is of 
the opinion that, of the Framework’s 12 eligibility criteria (across  four  use of proceeds categories),  which map 
to 1 2 EU activities, 12 align  with the applicable Technical Screening Criteria (“TSC”) in the EU Taxonomy and 
that all 12 align  with the Do No Significant Harm Criteria.  No categories were determined to be not aligne d. 
Sustainalytics  is also of the opinion that the activities and projects to be financed under the Framework will 
be carried out in  alignment with the EU Taxonomy’s Minimum Safeguards.  
Based on the above, Sustainalytics is confident that E.ON  SE is well -positioned to issue green bonds and that 
the  Green Bond Framework is robust, transparent, and in alignment with the four core components of the 
Green Bond Principles 2018.  ",assets and capital expenditures that support the energy transition and climate change  mitigation,assets and capital expenditures
17,ESB_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,3,"8 ESB has developed the ESB Green Bond Framework, under which it is considering to issue green bonds and 
use the proceeds to finance and refinance, in whole or in part, existing and future projects related to renewable 
energy, energy efficiency, c lean transportation and green buildings. Sustainalytics believes that these projects 
will have environmental benefits and support a transition to a low carbon economy. Sustainalytics specifically 
notes the Framework’s contribution to the company’s ongoing transition to a low carbon electricity producer 
and distributor, and, in this regard, highlights the focus on renewable energy generation and transmission. 
Additional strengths of the Framework include the use of credible third -party green building standar ds and 
quantitative thresholds for energy performance improvement in ESB’s commercial buildings.  ","in whole or in part, existing and future projects related to renewable  energy, energy efficiency, c lean transportation and green buildings","projects related to renewable  energy, energy efficiency, c lean transportation and green buildings"
18,innogy_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,4," 
Conclusion  
innogy , a European energy company , intends to issue green bonds  to finance or refinance, in whole or in 
part,  investments  supporting the transformation of the energy system . Proceeds of the bonds may be 
directed towards  the following Eligible Green Categories : (i) Renewable energy projects;  (ii) Energy 
efficiency projects;  and (iii) C lean transportation projects.  
Given innogy ’s goal to “enable people to improve their quality of life by using energy more innovatively 
through sustainable products and services,” as well as the focus of the com pany’s business divisions, 
Sustainalytics considers that the issuance of green bonds strongly aligns with the company’s mandate and 
overall strategy. Furthermore, Sustainalytics is of the opinion that the planned use of proceeds will have 
environmental ben efits  along innogy ’s value chain,  contribute to the EU 2030 Climate and Energy 
objectives , and advance  SDGs 7,  9 and 13 . 
innogy ’s eligible projects are evaluated and approved  by a dedicated Green Bond Committee with 
representatives from the business divisi ons, treasury and environment departments. This is in line with 
recommended market practice.  The Committee also oversees  the management and allocation of 
proceeds throughout  the term of the bonds.  ",investments  supporting the transformation of the energy system ,investments  supporting the transformation of the energy system 
19,Midsummer_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,3,"Midsummer h as developed the  Midsummer Green Bond Framework  (the “ Framework ”) under which it is 
considering to issu e green bon ds and use the proceeds to finance  and refinance , in whole or in part, existing  
and future projects th at increase the use of renewable energy . The Framework defines eligibility criteria in  
one  area:  ","in whole or in part, existing   and future projects th at increase the use of renewable energy ",projects th at increase the use of renewable energy
20,Landsvirkjun-External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,2,"Proceeds of the bond s will be used for projects supporting the production of renewable energy in Iceland. 
Considering Landsvirkjun’s  environmental and social risk due diligence process (internal risk management 
system aligned with the Hydropower Sustainability Assessment Protocol and the Geothermal 
Sustainability Assessment Protocol , and the strong Icelandic regulatory environment requiring 
comprehensive environmental impact assessments), Sustainalytics believes that the proceeds will have 
clear environmental benefits. Add itionally, Sustainalytics is of the opinion that Landsvirkjun’s strict 
compliance with CBI’s carbon intensity threshold s of 100gCO 2/kWh for geothermal projects and 4.0 
g/kWh for geothermal projects provide additional assurance that the company’s  eligible p rojects will 
deliver meaningful positive impact. Below, Sustainalytics provides an opinion on the impact of 
Land svirkjun’s green bond eligibility criteria, considering the local context and focusing on the impact  of 
some of the projects financed over the p ast years.  ",projects supporting the production of renewable energy in Iceland,projects supporting the production of renewable energy in Iceland
21,neutral%20fuels_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,1,"9 Conclusion  
Neutral Capital Finance PLC has developed the Neutral Capital Finance PLC  Green Bond Framework  under 
which it may  issue green bonds and the use of proceeds to finance and/or refinance, in whole or in part, 
existing and/or future projects  for Neutral Fuels,  that are expected to provide positive environmental impact 
and contribute towards the transition to low -carbon t ransportation.  Sustainalytics considers that the project s 
funded by the green bond proceeds are expected to have  provide positive environmental impact .  
The Framework  outlines a process by which proceeds will be tracked, allocated, and managed, and 
commitm ents have been made for reporting on the allocation and impact of the use of proceeds. Furthermore, 
Sustainalytics believes that  the  Framework  is aligned with the overall sustainability initiatives  of the Company 
and that the green use of proceed  categor ies will contribute to the advancement of  the  UN SDGs 7, 9, and 12. 
Additionally, Sustainalytics is of the opinion that Neutral Fuels  has adequate  measures to identify, manage 
and mitigate environmental and social risks commonly associated with the eligible projects funded by the use 
of proceeds.  
Based on the above, Sustainalytics is confident that  Neutral Fuels  is well -positioned to issue green  bonds and 
that the Framework  is robust, transparent, and in alignment with the four core components of the Green Bond 
Principles 2018.  ","existing and/or future projects  for Neutral Fuels,  that are expected to provide positive environmental impact  and contribute towards the transition to low -carbon t ransportation",existing and/or future projects  for Neutral Fuels
22,Repower_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,1,"1. USE OF PROCEEDS  
Overall comment on section (if applicable) :  
Repower will use the net proceeds of the Green SSD  to finance or refinance the company’s i nvestments 
in renewable energy. Expenditures include activities r elated to the acquisition, development, operation 
and maintenance of wind parks and hydropower plants developed or acquired since 2007.  ",the company’s i nvestments  in renewable energy,the company’s i nvestments  in renewable energy
23,RWE_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,3,"4 Sustainalytics’ Opinion  
Section 1: Sustainalytics’ Opinion on the RWE Green Bond Framework  
Sustainalytics is of the opinion that the RWE Green Bond Framework aligns with the four core components  of 
the GBP  201 8. Sustainalytics highlights th e following elements of RWE ’s Green Bond Framework : 
• Use of Proceeds:  
- The eligible category , Renewable Energy , is aligned with those recognized by the GBP 2018.  
- RWE may use proceeds for the conception, development, construction, installation and 
acquisition of renewable energy production units, specifically solar energy, onshore and offshore 
wind farms.  In regards to solar energy, RWE has indicated to Sustainalytics that  concentrated 
solar power (CSP)/solar thermal facilities are not currently in consideration to be financed, but 
may invest into these CSP/solar thermal facilities in the future. In the event that  financing is 
provided for such facilities, Sustainalytics re commends that the Issuer reports on  the use of 
fossil -fuel backup sources.  Projects will primarily be in Europe a nd North America. Sustainalytics 
positively views investments into the expansion of renewable energy capacity.  
- RWE has set a look -back period o f three years.  
• Project Evaluation and Selection:  
- RWE has established a Green Bond Committee (the “Committee”), which is comprised of 
representatives fro m RWE’s Corporate Responsibility, Finance & Credit Risk, Investor Relations 
and Controlling departments . The Committee is responsible for all aspects of project evaluation 
and selection, including reviewing and approving eligible projects for the Eligible Project 
Portfolio, monitoring project eligibility and removing/replacing as needed  
- Based o n this, Sustainalytics considers this process  to be in line with market practice.  
• Management of Proceeds:  
- RWE’s Finance & Credit Risk De partment will manage the allocation of proceeds. An amount 
equivalent to the net proceeds raised from the bond(s) will b e allocated to the Eligible Project 
Port folio  based on the recommendation of the Committee . Proceeds will be tracked via RWE’s 
internal tracking and accounting systems. RWE will strive to maintain a level of allocation for the 
Eligible Project Portfolio th at matches or exceeds the balance of  net proceeds from its 
outstanding green bonds. If any, unallocated proceeds will be temporarily held in RWE’s liquidity 
portfolio, invested in cash and/or cash equivalents,  and re-allocated as soon as feasible.  
- Based on  these elements, Sustainalytics considers this process  to be in line with market practice.  
• Reporting:  
- On an annual basis, RWE is committed to reporting on allocation and, where feasible, impact of 
the portfolio  at least at the Eligible Project cate gory level, starting one after issuance . Material 
developments such as, Framework modifications or allocation portfolio will be reported in a 
timely manner . Allocation reporting will include the total amount of investments and expe nditures 
allocated to the Eligible Project Portfolio , the portion of financing vs refinancing , and, if any, 
unallocated proceeds. In addition, RWE will strive to report  on estimate d positive environmental 
impact from projects using indicators such as annua l energy generation (in kWh) of green funded 
investments ; and estimated annual CO 2 avoided (tCO 2). In addition, RWE may provide 
qualitative descriptions of the outcomes and impacts of selected Eligible Projects.  
- Based o n the above, Sustainalytics considers this process  to be in line with market practice.  
Alignment with Green Bond Principles 201 8 
Sustainalytics has determined that the RWE Green Bond Framework aligns to the four core components  of 
the GBP  201 8. For detailed information  please refer to Appendix 1: Green Bond/Green Bond Programme 
External Review Form.  ","the conception, development, construction, installation and  acquisition of renewable energy production units, specifically solar energy, onshore and offshore  wind farms","the conception, development, construction, installation and  acquisition of renewable energy production units, specifically solar energy, onshore and offshore  wind farms"
24,Synthesis%20Analytics_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,2,"6 Renewable Energy  7. Affordable & Clean Energy  7.2  By 2030, increase substantially the share of 
renewable energy in the global energy mi x 
Green Digital Solutions  7. Affordable & Clean Energy  7.3 By 2030, double the global rate of 
improvement in energy efficiency  
Energy Efficiency  7. Affordable & Clean Energy  7.3 By 2030, double the global rate of 
improvement in energy efficiency  
Green Buildings  11. Sustainable Cities & 
Communities  11.6 By 2030, reduce the adverse per capita 
envir onmental impact of cities, including by 
paying special attention to air quality and 
municipal and other waste management  
Conclusion   
Synthesis  Analytics  has developed the Synthesis Analytics Green Bond Framework  under which it will issue 
green bonds and the use of proceeds to finance  HPC centres and provide green computing products and 
solutions that improve energy efficiency, reduce waste and capture waste -heat. Sustainalytics considers that 
the projec ts funded by the green bond proceeds will provide positive environmental impact .  
The Synthesis Analytics Green Bond Framework  outlines a process by which proceeds will be tracked, 
allocated, and managed, and commitments have been made for reporting on the allocation and impact of the 
use of proce eds. Furthermore, Sustainalytics believes that  the  Synthesis Analytics Green Bond Framework  is 
aligned with the overall sustainability strategy of the company and that the green use of procee ds categor ies  
will contribute to the advancement of  the  UN Sustai nable Development Goa ls 7 & 11 . Additionally, 
Sustainalytics is of the opinion that Synthesis   has sufficient measures to identify, manage and mitigate 
environmental and social risks commonly associated with the eligible projects funded by the use of proc eeds.  
Based on the above, Sustainalytics is confident that  Synthesis Analytics  is well -positioned to issue green 
bonds and that  the Synthesis Analytics Green Bond Framework  is robust, transparent, and in alignment with 
the four core components of the Green Bond Principles 2018.  
  ","HPC centres and provide green computing products and  solutions that improve energy efficiency, reduce waste and capture waste -heat",HPC centres and provide green computing products and  solutions
25,Water%20Wheel_External%20Review%20Report.pdf,Corporate-Energy,what did the use of proceeds finance?,T5,2,"Water Wheels Green Securities has developed the Water Wheel Green Securities Green Bond F ramework  (the 
“Framework ”) under which it intends to issue green bond s and use the proceeds to finance  and  refinance , in 
whole or  in part, existing  and  future  renewable energy projects that  help reduce total greenhouse gas (GHG) 
emissions by increasing ren ewable energy production through the rooftop solar installation s and thus 
increasing accessibility to affordable and clean energy.  The Framework defines eli gibility criteria in the 
following  area:  ",renewable energy projects that  help reduce total greenhouse gas (GHG)  emissions by increasing ren ewable energy production through the rooftop solar installation s,renewable energy projects
26,Alpha%20Trains_External%20Review%20Report.pdf,Corporate-Transportation,what did the use of proceeds finance?,T5,1,"Use of Proceeds  
Eligibility Criteria  
Proceeds of the placement , to be issued by Alpha Trains Finance S.A.,  which is the financing company 
within the Alpha Trains ring -fenced perimeter (“Oak Perimeter”),  will be directed to refinance debt 
associated with the acquisition of  two  Electric Multiple Unit (EMU) fleets . The EMU fleets are  currently 
financed in two sep arate legal entities  outside of the Oak Perimeter, which are  located in Luxembourg, 
“Alpha Trains EMIL S.à r.l.” and “Alpha Trains STS S.à r.l.” .  ",debt  associated with the acquisition of  two  Electric Multiple Unit (EMU) fleets,debt  associated with the acquisition of  two  Electric Multiple Unit (EMU) fleets
